,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
0,hobart,41.0,86,147.33,-42.88,75,AU,6.93,1602878272
1,nikolskoye,41.0,65,30.79,59.7,90,RU,6.71,1602878273
2,coaticook,48.2,100,-71.8,45.13,90,CA,4.7,1602878274
3,yumen,41.63,50,97.2,40.28,4,CN,13.51,1602878276
4,college,17.01,72,-147.8,64.86,20,US,5.82,1602878277
5,ribeira grande,68.0,68,-28.7,38.52,75,PT,10.29,1602878278
6,poroshkovo,37.99,97,22.75,48.67,100,UA,1.99,1602878280
7,butaritari,81.37,76,172.79,3.07,0,KI,14.27,1602878282
8,bluff,44.01,86,168.33,-46.6,55,NZ,4.0,1602878283
9,katangli,32.83,89,143.23,51.71,28,RU,11.92,1602878284
10,rikitea,73.74,81,-134.97,-23.12,100,PF,21.81,1602878285
11,busselton,50.0,70,115.33,-33.65,0,AU,10.0,1602878284
12,jawa,68.0,72,35.94,31.85,0,JO,1.9,1602878288
13,zyryanka,26.55,98,150.85,65.75,100,RU,7.87,1602878289
14,garhi khairo,72.1,20,67.98,28.06,24,PK,1.41,1602878290
15,mumford,77.94,87,-0.76,5.26,98,GH,11.36,1602878291
16,nieuw amsterdam,88.0,70,-55.08,5.88,32,SR,7.0,1602878191
17,hithadhoo,83.5,75,73.08,-0.6,85,MV,21.27,1602878294
18,khatanga,-1.8,90,102.5,71.97,0,RU,5.23,1602878295
19,linjiang,34.54,88,126.91,41.81,0,CN,2.01,1602878296
20,bredasdorp,59.0,87,20.04,-34.53,0,ZA,1.83,1602878297
21,lagoa,64.0,67,-27.98,39.05,100,PT,6.71,1602878298
22,mankono,75.6,83,-6.19,8.06,97,CI,2.35,1602878299
23,mwanza,75.2,60,32.9,-2.52,40,TZ,5.82,1602878301
24,hermanus,57.99,91,19.23,-34.42,0,ZA,6.13,1602878302
25,arraial do cabo,71.6,73,-42.03,-22.97,90,BR,10.29,1602878303
26,barrow,15.8,72,-156.79,71.29,1,US,24.16,1602878299
27,malkangiri,74.66,92,81.9,18.35,12,IN,0.98,1602878305
28,mount isa,66.2,42,139.5,-20.73,0,AU,5.82,1602878308
29,qarqin,59.7,33,66.04,37.42,0,AF,10.13,1602878309
30,lasa,48.0,93,10.7,46.62,75,IT,5.82,1602878310
31,moindou,66.2,93,165.68,-21.69,90,NC,4.7,1602878311
32,liku,75.36,84,119.89,-0.73,99,ID,2.64,1602878313
33,mar del plata,66.2,77,-57.56,-38.0,0,AR,14.99,1602878305
34,olafsvik,46.76,82,-23.71,64.89,100,IS,4.07,1602878315
35,saint-georges,87.8,70,-61.75,12.06,20,GD,17.22,1602878317
36,bengkulu,75.33,89,102.27,-3.8,55,ID,3.4,1602878318
37,esperance,46.4,100,121.9,-33.87,23,AU,3.36,1602878320
38,sambava,73.0,82,50.17,-14.27,1,MG,8.59,1602878321
39,atuona,78.78,74,-139.03,-9.8,0,PF,20.47,1602878322
40,petaling jaya,80.6,83,101.61,3.11,20,MY,1.23,1602878315
41,new norfolk,39.99,70,147.06,-42.78,100,AU,2.15,1602878325
42,dicabisagan,78.55,84,122.42,17.08,100,PH,6.35,1602878327
43,yellowknife,27.0,73,-114.35,62.46,90,CA,18.34,1602878266
44,veraval,82.8,81,70.37,20.9,100,IN,11.41,1602878330
45,chuy,64.38,74,-53.46,-33.7,13,UY,14.09,1602878036
46,adra,64.0,82,-3.02,36.75,0,ES,2.24,1602878334
47,albany,50.0,91,-73.97,42.6,100,US,4.45,1602878335
48,luderitz,66.24,56,15.16,-26.65,0,NA,15.28,1602878336
49,jarinu,66.2,68,-46.73,-23.1,40,BR,20.8,1602878338
50,ushuaia,46.4,52,-68.3,-54.8,75,AR,19.46,1602878339
51,dodola,50.81,77,39.18,6.98,2,ET,1.12,1602878340
52,tieli,33.91,85,128.05,46.95,36,CN,9.42,1602878341
53,faanui,78.69,79,-151.75,-16.48,97,PF,11.99,1602878343
54,leningradskiy,33.12,92,178.42,69.38,38,RU,6.55,1602878344
55,cape town,64.0,67,18.42,-33.93,0,ZA,4.7,1602878345
56,punta arenas,41.0,86,-70.92,-53.15,90,CL,10.29,1602878347
57,ponta do sol,68.0,68,-17.1,32.67,20,PT,5.82,1602878348
58,kutum,79.95,17,24.67,14.2,0,SD,9.64,1602878349
59,kenai,37.0,75,-151.26,60.55,1,US,5.82,1602878352
60,avarua,77.0,57,-159.78,-21.21,87,CK,13.87,1602878353
61,bathsheba,87.8,66,-59.52,13.22,40,BB,13.87,1602878354
62,pevek,35.73,86,170.31,69.7,14,RU,12.57,1602878357
63,beyneu,56.46,36,55.2,45.32,0,KZ,12.41,1602878359
64,hervey bay,61.0,93,152.85,-25.3,66,AU,8.05,1602878361
65,torbay,59.0,87,-52.73,47.67,90,CA,5.82,1602878362
66,puerto ayora,78.8,65,-90.35,-0.74,20,EC,16.11,1602878363
67,georgetown,78.8,94,100.34,5.41,20,MY,2.24,1602878364
68,marawi,73.99,93,124.29,8.0,84,PH,4.0,1602878365
69,meulaboh,76.71,84,96.13,4.14,100,ID,3.98,1602878367
70,qaanaaq,28.51,85,-69.36,77.48,100,GL,7.07,1602878369
71,samara,57.2,54,50.0,53.0,20,RU,4.47,1602878370
72,vanavara,25.72,96,102.28,60.34,100,RU,9.35,1602878372
73,vaini,75.2,94,-175.2,-21.2,90,TO,10.29,1602878373
74,cedar city,60.8,12,-113.06,37.68,1,US,4.7,1602878242
75,lodwar,89.17,36,35.6,3.12,10,KE,13.53,1602878375
76,kalmunai,76.37,75,81.82,7.42,35,LK,3.15,1602878377
